Id,minutes_past,radardist_km,Ref,Ref_5x5_10th,Ref_5x5_50th,Ref_5x5_90th,RefComposite,RefComposite_5x5_10th,RefComposite_5x5_50th,RefComposite_5x5_90th,RhoHV,RhoHV_5x5_10th,RhoHV_5x5_50th,RhoHV_5x5_90th,Zdr,Zdr_5x5_10th,Zdr_5x5_50th,Zdr_5x5_90th,Kdp,Kdp_5x5_10th,Kdp_5x5_50th,Kdp_5x5_90th,Expected
1,3,10,,,,,,,,,,,,,,,,,,,,,0.25400013
1,16,10,,,,,,,,,,,,,,,,,,,,,0.25400013
1,25,10,,,,,,,,,,,,,,,,,,,,,0.25400013
1,35,10,,,,,,,,,,,,,,,,,,,,,0.25400013
1,45,10,,,,,,,,,,,,,,,,,,,,,0.25400013
1,55,10,,,,,,,,,,,,,,,,,,,,,0.25400013
2,1,2,9,5,7.5,10.5,15,10.5,16.5,23.5,0.99833333,0.99833333,0.99833333,0.99833333,0.375,-0.125,0.3125,0.875,1.0599976,-1.4100037,-0.3500061,1.0599976,1.0160005
2,6,2,26.5,22.5,25.5,31.5,26.5,26.5,28.5,32,1.0016667,0.9816667,0.99833333,1.005,0.0625,-0.1875,0.25,0.6875,,,,1.4099884,1.0160005
2,11,2,21.5,15.5,20.5,25,26.5,23.5,25,27,1.0016667,0.995,0.99833333,1.0016667,0.3125,-0.0625,0.3125,0.625,0.34999084,,-0.3500061,1.7599945,1.0160005
2,16,2,18,14,17.5,21,20.5,18,20.5,23,0.995,0.995,0.99833333,1.0016667,0.25,0.125,0.375,0.6875,0.34999084,-1.0599976,0,1.0599976,1.0160005
2,21,2,24.5,16.5,21,24.5,24.5,21,24,28,0.99833333,0.995,0.99833333,0.99833333,0.25,0.0625,0.1875,0.5625,-0.3500061,-1.0599976,-0.3500061,1.7599945,1.0160005
2,26,2,12,12,16,20,16.5,17,19,21,0.99833333,0.995,0.99833333,0.99833333,0.5625,0.25,0.4375,0.6875,-1.7600098,-1.7600098,-0.3500061,0.70999146,1.0160005
2,31,2,22.5,19,22,25,26,23.5,25.5,27.5,0.99833333,0.995,0.99833333,1.0016667,0,-0.1875,0.25,0.625,-1.0599976,-2.1200104,-0.7100067,0.34999084,1.0160005
2,37,2,14,14,18.5,21,19.5,20,21,23,0.99833333,0.9916667,0.99833333,0.99833333,0.5,0.1875,0.4375,0.8125,0,-1.7600098,-0.3500061,1.0599976,1.0160005
2,42,2,12,11,12.5,17,19.5,18,21,23,0.99833333,0.995,0.99833333,0.99833333,0.625,0.375,0.625,0.875,-0.3500061,-0.3500061,0,0.34999084,1.0160005
2,47,2,1.5,3.5,7,10.5,18,16.5,18.5,21.5,0.99833333,0.995,0.99833333,0.99833333,0.375,0.1875,0.5,0.6875,0.34999084,-2.1100006,-0.3500061,1.0599976,1.0160005
2,53,2,16,14.5,18,23.5,28,23.5,26.5,29.5,0.99833333,0.9916667,0.99833333,0.99833333,0.875,0.625,0.9375,1.375,-0.3500061,-1.4100037,-0.3500061,2.119995,1.0160005
2,58,2,22,16.5,22.5,26.5,31.5,26.5,29,32,0.99833333,0.995,0.99833333,1.0016667,0.375,0.1875,0.375,0.875,-1.4100037,,-0.3500061,0.69999695,1.0160005
3,4,10,,,,,,,,,,,,,,,,,,,,,26.162014
3,9,10,,,,,,,,,,,,,,,,,,,,,26.162014
3,14,10,,,,,,,,,,,,,,,,,,,,,26.162014
3,18,10,,,,,,,,,,,,,,,,,,,,,26.162014
3,23,10,,,,,,,,,,,,,,,,,,,,,26.162014
3,28,10,,,,,,,,,,,,,,,,,,,,,26.162014
3,33,10,,,,,,,,,,,,,,,,,,,,,26.162014
3,38,10,,,,,,,,,,,,,,,,,,,,,26.162014
3,43,10,,,,8.5,,,,8.5,,,,,,,,,,,,,26.162014
3,48,10,,,,,,,,,,,,,,,,,,,,,26.162014
3,53,10,,,,,,,,,,,,0.8016667,,,,2.0625,,,,,26.162014
3,58,10,,,,,,,,,,,,,,,,,,,,,26.162014
4,0,9,18.5,16,19,23.5,24.5,22,23.5,25.5,,,,0.99833333,,,,1.4375,,,,,4.064002
4,5,9,22,14,21,30,25.5,22.5,25.5,33.5,,,,,,,,,,,,,4.064002
4,9,9,35.5,24.5,30.5,35.5,35.5,25.5,31.5,35.5,,,,,,,,,,,,,4.064002
4,14,9,16.5,,19,34.5,23.5,16.5,23,35,,,,,,,,,,,,,4.064002
4,19,9,16,,11,18,20.5,13.5,18.5,23.5,,,,,,,,,,,,,4.064002
4,23,9,,,,26,7.5,12,18.5,30,,,,,,,,,,,,,4.064002
4,28,9,32.5,10.5,34.5,43,42.5,19.5,39.5,45.5,,,,,,,,,,,,,4.064002
4,33,9,41.5,33.5,39.5,44.5,43,36,41.5,44.5,,,,,,,,,,,,,4.064002
4,38,9,34,33.5,37.5,42.5,37,35.5,39,44.5,,,,,,,,,,,,,4.064002
4,42,9,29.5,,29.5,45,29.5,19,29.5,45,,,,,,,,,,,,,4.064002
4,47,9,,,,20,11,,12.5,21.5,,,,1.0083333,,,,0.5625,,,,5.6299896,4.064002
4,52,9,,,,11,,,6.5,15,,,,1.005,,,,0.5625,,,,,4.064002
4,56,9,20,8.5,16.5,20,20,10,17.5,20,0.98833334,,0.98833334,1.0516667,-1.125,,0.5,3.5,7.029999,,0,7.029999,4.064002
5,0,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,4,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,9,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,13,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,17,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,22,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,26,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,30,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,35,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,39,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,45,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,50,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,54,13,,,,,,,,,,,,,,,,,,,,,774.70044
5,58,13,,,,,,,,,,,,,,,,,,,,,774.70044
6,3,13,,,,,,,,,,,,,,,,,,,,,0.25400013
6,16,13,,,,,,,,,,,,,,,,,,,,,0.25400013
6,25,13,,,,,,,,,,,,,,,,,,,,,0.25400013
6,35,13,,,,,,,,,,,,,,,,,,,,,0.25400013
6,45,13,,,,,,,,,,,,,,,,,,,,,0.25400013
6,55,13,,,,,,,,,,,,,,,,,,,,,0.25400013
7,3,13,,,12,17.5,14,12.5,17.5,21,,,,,,,,,,,,,0.50800025
7,7,13,14.5,10.5,14.5,20,17,11.5,15.5,20,,,,,,,,,,,,,0.50800025
7,11,13,15,,13,16,15,10.5,13,16,,,,,,,,,,,,,0.50800025
7,15,13,,,,10,,,,12,,,,,,,,,,,,,0.50800025
7,19,13,,,10.5,14,13,,13.5,16.5,,,,,,,,,,,,,0.50800025
7,23,13,,,,12.5,,,,13.5,,,,,,,,,,,,,0.50800025
7,27,13,,,,11,,,,11,,,,,,,,,,,,,0.50800025
7,31,13,,,,,,,,,,,,,,,,,,,,,0.50800025
7,35,13,,,,,,,,,,,,,,,,,,,,,0.50800025
7,39,13,,,,,,,,,,,,,,,,,,,,,0.50800025
7,43,13,,,,,,,,,,,,,,,,,,,,,0.50800025
7,47,13,,,,,,,,,,,,,,,,,,,,,0.50800025
7,51,13,,,,,,,,,,,,,,,,,,,,,0.50800025
7,55,13,,,,,,,,,,,,,,,,,,,,,0.50800025
7,58,13,,,,,,,,,,,,,,,,,,,,,0.50800025
8,3,8,20.5,,17.5,27,21.5,21,24,28.5,0.995,0.985,0.99833333,1.005,1.125,0.8125,1.5,2.1875,-1.0599976,-5.630005,-1.2400055,4.4599915,3.2250018
8,8,8,10.5,,10.5,23,21,18,21,24,,,,,,,,,,,,,3.2250018
8,13,8,20.5,17.5,21.5,28,28,20.5,26.5,30.5,,,,,,,,,,,,,3.2250018
8,18,8,22.5,,18,25,22.5,18,20.5,25.5,,,,,,,,,,,,,3.2250018
8,23,8,,,,13.5,28.5,20.5,24.5,32,,,,,,,,,,,,,3.2250018
8,29,8,27.5,19,25,27.5,27.5,26.5,28,31.5,,,,1.0516667,,,,0.125,,,,,3.2250018
8,34,8,25.5,22.5,25.5,28.5,33,27,29,33,0.7916667,0.8616667,1.0183333,1.0516667,2.5625,-2.5,-0.875,2.1875,-1.050003,,-1.050003,4.580002,3.2250018
8,39,8,25.5,22,25.5,28,33.5,29,30.5,33.5,,,,,,,,,,,,,3.2250018
8,44,8,17,13.5,20,31,24,23,26.5,32,,,,1.0516667,,,,-2,,,,,3.2250018
8,49,8,18.5,14,21,29,23,19,23,29,,,,0.955,,,,0.5,,,,,3.2250018
8,54,8,8,,7.5,13,8,,7.5,15,0.945,0.9483333,0.9716667,0.9916667,0.4375,-0.75,0.5,2.3125,1.0599976,-2.4700012,0.70999146,2.819992,3.2250018
8,59,8,,,,,,,,,0.995,0.95166665,0.985,0.995,0.5,0.0625,1,1.875,1.0599976,-3.7900085,0.70999146,3.0800018,3.2250018
9,1,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,6,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,10,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,14,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,19,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,24,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,28,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,33,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,37,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,42,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,47,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,52,18,,,,,,,,,,,,,,,,,,,,,18.28801
9,56,18,,,,,,,,,,,,,,,,,,,,,18.28801
10,2,10,32.5,32,35,37,35,33.5,35.5,39.5,0.94166666,0.815,0.935,0.9916667,1.875,-1.9375,0.375,2.6875,10.98999,-6.330002,0.70999146,11.089996,0.010000005
10,6,10,37.5,30.5,34.5,37.5,37.5,32.5,35.5,39,0.89166665,0.725,0.9316667,0.9916667,0.75,-1.5625,0.6875,3.6875,-20.25,-11.75,0,8.429993,0.010000005
10,11,10,36,31,34,36,36,33.5,36.5,38.5,0.955,0.7216667,0.9116667,0.9716667,1.1875,-0.5,1.1875,5.875,-3.1699982,-13.449997,-3.1699982,8.080002,0.010000005
10,16,10,29,28.5,32,36,29,31,33,36,0.76166666,0.76166666,0.9316667,0.985,0.9375,-0.6875,0.8125,2.9375,0,-0.3500061,1.0599976,10.399994,0.010000005
10,20,10,32.5,31,33.5,38,32.5,32.5,34,38.5,0.975,0.91833335,0.9716667,0.985,-2.4375,-1.3125,0.5625,2.25,5.9799957,0,2.1100006,6.8799896,0.010000005
10,25,10,32,26.5,32,37,36.5,29.5,35,38,0.8616667,0.86833334,0.915,0.97833335,-0.5,-1.25,0.375,3.3125,-5.980011,-6.3899994,1.0599976,11.929993,0.010000005
10,30,10,36.5,27,32.5,36,36.5,28.5,34,36,0.9916667,0.9216667,0.97833335,0.9916667,0.3125,-0.4375,0.4375,2.25,-1.8800049,-3.5200043,-1.0599976,2.4700012,0.010000005
10,34,10,32.5,31.5,34.5,39.5,34.5,33,35.5,39.5,0.995,0.9116667,0.9816667,0.995,0.25,-0.25,0.375,2.375,1.4099884,-5.550003,0.34999084,4.2299957,0.010000005
10,39,10,38,33,36,38.5,38,34.5,37,39.5,0.75166667,0.8183333,0.94166666,0.985,-0.3125,-0.875,0.5,2.875,4.5099945,-9.130005,3.5099945,7.73999,0.010000005
10,44,10,36.5,32.5,34,36,36.5,33.5,35,36.5,0.94166666,0.85833335,0.935,0.98833334,-1.25,-1.625,0.4375,1.75,-2.4700012,-5.630005,-0.3500061,3.1699982,0.010000005
10,48,10,32.5,30,31.5,37.5,32.5,31,32.5,37.5,0.865,0.87166667,0.96833336,0.9916667,1.0625,-1.25,0,2.0625,-2.1200104,-5.2900085,-3.5100098,2.119995,0.010000005
